year,code,amount,name,topname,depname,depcat,cat,ref
2014,0117010101,348940000000,營利事業所得稅,稅課收入,財政部,所得稅,,1.1.1.1
2014,0117010102,344141000000,綜合所得稅,稅課收入,財政部,所得稅,,1.1.1.2
2014,0117010201,7345000000,遺產稅,稅課收入,財政部,遺產及贈與稅,,1.1.2.1
2014,0117010202,3955000000,贈與稅,稅課收入,財政部,遺產及贈與稅,,1.1.2.2
2014,0402010301,NaN,一般賠償收入,罰款及賠償收入,總統府,賠償收入,,2.1.1.1
2014,0402300301,NaN,一般賠償收入,罰款及賠償收入,國史館,賠償收入,,2.2.1.1
2014,0402310301,NaN,一般賠償收入,罰款及賠償收入,國史館臺灣文獻館,賠償收入,,2.3.1.1
2014,0402400301,5000000,一般賠償收入,罰款及賠償收入,中央研究院,賠償收入,,2.4.1.1
2014,0403010301,NaN,一般賠償收入,罰款及賠償收入,行政院,賠償收入,,2.5.1.1
2014,0403100301,NaN,一般賠償收入,罰款及賠償收入,主計總處,賠償收入,,2.6.1.1
2014,0403300301,NaN,一般賠償收入,罰款及賠償收入,人事行政總處,賠償收入,,2.7.1.1
2014,0403310301,NaN,一般賠償收入,罰款及賠償收入,公務人力發展中心,賠償收入,,2.8.1.1
2014,0403330301,NaN,一般賠償收入,罰款及賠償收入,地方行政研習中心,賠償收入,,2.9.1.1
2014,0403400301,1100000,一般賠償收入,罰款及賠償收入,國立故宮博物院,賠償收入,,2.10.1.1
2014,0403500301,NaN,一般賠償收入,罰款及賠償收入,經濟建設委員會,賠償收入,,2.11.1.1
2014,0403640301,NaN,一般賠償收入,罰款及賠償收入,客家委員會及所屬,賠償收入,,2.12.1.1
2014,0403670101,30000,罰金罰鍰,罰款及賠償收入,中央選舉委員會及所屬,罰金罰鍰及怠金,,2.13.1.1
2014,0403670201,560000,沒入金,罰款及賠償收入,中央選舉委員會及所屬,沒入及沒收財物,,2.13.2.1
2014,0403670301,NaN,一般賠償收入,罰款及賠償收入,中央選舉委員會及所屬,賠償收入,,2.13.3.1
2014,0403800301,NaN,一般賠償收入,罰款及賠償收入,研究發展考核委員會,賠償收入,,2.14.1.1
2014,0403810301,94000,一般賠償收入,罰款及賠償收入,檔案管理局,賠償收入,,2.15.1.1
2014,0403820101,224003000,罰金罰鍰,罰款及賠償收入,公平交易委員會,罰金罰鍰及怠金,,2.16.1.1
2014,0403820301,NaN,一般賠償收入,罰款及賠償收入,公平交易委員會,賠償收入,,2.16.2.1
2014,0403850101,41700000,罰金罰鍰,罰款及賠償收入,國家通訊傳播委員會,罰金罰鍰及怠金,,2.17.1.1
2014,0403850102,NaN,怠金,罰款及賠償收入,國家通訊傳播委員會,罰金罰鍰及怠金,,2.17.1.2
2014,0403850301,NaN,一般賠償收入,罰款及賠償收入,國家通訊傳播委員會,賠償收入,,2.17.2.1
2014,0403900301,NaN,一般賠償收入,罰款及賠償收入,大陸委員會,賠償收入,,2.18.1.1
2014,0403950101,440000,罰金罰鍰,罰款及賠償收入,公共工程委員會,罰金罰鍰及怠金,,2.19.1.1
2014,0403950301,NaN,一般賠償收入,罰款及賠償收入,公共工程委員會,賠償收入,,2.19.2.1
2014,0403970301,NaN,一般賠償收入,罰款及賠償收入,原住民族委員會,賠償收入,,2.20.1.1
2014,0403960301,NaN,一般賠償收入,罰款及賠償收入,文化園區管理局,賠償收入,,2.21.1.1
2014,0404010301,NaN,一般賠償收入,罰款及賠償收入,立法院,賠償收入,,2.22.1.1
2014,0405010301,NaN,一般賠償收入,罰款及賠償收入,司法院,賠償收入,,2.23.1.1
2014,0405110101,NaN,罰金罰鍰,罰款及賠償收入,臺北高等行政法院,罰金罰鍰及怠金,,2.24.1.1
2014,0405120301,NaN,一般賠償收入,罰款及賠償收入,臺中高等行政法院,賠償收入,,2.25.1.1
2014,0405130101,NaN,罰金罰鍰,罰款及賠償收入,高雄高等行政法院,罰金罰鍰及怠金,,2.26.1.1
2014,0405250301,NaN,一般賠償收入,罰款及賠償收入,法官學院,賠償收入,,2.27.1.1
2014,0405300101,109000,罰金罰鍰,罰款及賠償收入,臺灣高等法院,罰金罰鍰及怠金,,2.28.1.1
